CNPJ;CNAE
00072182000106;46.44-3-01
00075298000107;46.44-3-01
00175233000125;46.44-3-01
00284181000125;46.45-1-01
00291784000154;47.73-3-00
00291784000235;47.73-3-00
00291784000316;47.71-7-01
00291784000588;47.73-3-00
00291784000740;47.71-7-01
00350160000160;46.44-3-01
00924432000199;93.21-2-00
01215670000198;93.21-2-00
01319925000162;47.63-6-01
04568719000184;08.10-0-06
05842261000172;00.00-0-00
06075540000110;77.11-0-00
08790499000190;00.00-0-00
10467412000190;93.21-2-00
14232563000110;93.29-8-99
19624745000150;93.21-2-00
00072182000106;46.44-3-01
00075298000107;46.44-3-01
00175233000125;46.44-3-01
00284181000125;46.45-1-01
00291784000154;47.73-3-00
00291784000235;47.73-3-00
00291784000316;47.71-7-01
00291784000588;47.73-3-00
00291784000740;47.71-7-01
00350160000160;46.44-3-01
00372383000129;47.71-7-01
00413891000108;00.00-0-00
00545222000190;46.44-3-01
00657630000133;00.00-0-00
00719780000124;47.71-7-01
00132229000341;86.10-1-01
00331801001454;85.32-5-00
00955107000193;84.12-4-00
01178931000147;84.11-6-00
01587609000171;85.31-7-00
01775217000136;86.10-1-02
02109397000180;86.10-1-01
02322043000542;86.10-1-01
02745280000192;86.10-1-02
02862447000286;86.10-1-01
03207963000159;86.10-1-01
03315918000541;86.10-1-02
03590364000167;00.00-0-00
03757610000122;85.50-3-02
03775069002129;85.99-6-99
